회사이름,공고이름,url,경력,지역,직무,사이트
와탭랩스,ai/ml 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45949336?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=96,경력5년↑,서울,AI 개발자,jobkorea
에듀템,인공지능 기술개발 및 연구,https://www.jobkorea.co.kr/Recruit/GI_Read/45949381?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=103,신입·경력,서울,AI 개발자,jobkorea
펀진,시계열 데이터 ai 모델 개발자 경력직 (유관 경력 2년이상) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45995103?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=104,경력2년↑,서울,AI 개발자,jobkorea
메이킷올,에듀테크 sw.ai 교육 콘텐츠 기획 및 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46052963?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=105,경력무관,경기,AI 개발자,jobkorea
비솔,[가산] 컴퓨터 비전 ai 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45944645?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=106,경력5년↑,서울,AI 개발자,jobkorea
루미르,인공위성기업 [루미르] ai 컴퓨터 비전 연구원 채용 [전문연구요원 가능],https://www.jobkorea.co.kr/Recruit/GI_Read/46012966?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=107,경력3년↑,경기,AI 개발자,jobkorea
에이치엘홀딩스,dt(data scientist ai 엔지니어) 담당자 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46076976?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=110,경력,서울,AI 개발자,jobkorea
노리스페이스,업무 자동화를 함께 이끌 senior ai researcher분을 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45744213?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=113,경력3년↑,서울,AI 개발자,jobkorea
씨드로닉스,back-end (ai데이터플랫폼) 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45747045?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=114,경력2년↑,서울,AI 개발자,jobkorea
플레이콘,[플레이콘] 개발 직군 ai개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45986569?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=115,경력무관,제주,AI 개발자,jobkorea
