회사이름: 대기업, 공고이름: [일본계반도체장비사] data scientist (데이터 분석가) 채용건, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45749735?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=75, 경력: 경력2년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 전자제품1위유통대기업, 공고이름: [ 데이터분석가 ] 전자제품 1위 유통 대기업, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45973505?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=76, 경력: 경력3년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 외국계기업, 공고이름: [global company] ga/aa 분석가, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46037564?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=78, 경력: 경력2년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 대기업, 공고이름: 데이터플랫폼회사] data analyst, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46069974?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=79, 경력: 경력2년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 중소기업, 공고이름: 데이터 과학자-성장 분석(영어 가능자), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45952383?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=81, 경력: 경력8년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 중견기업, 공고이름: 중견상장교육그룹 데이터분석 과장급 5년이상, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45739642?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=82, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 외국계기업, 공고이름: [외국계] accounting analyst - 이천, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45625832?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=94, 경력: 경력5년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 중견기업, 공고이름: [중견상장-풍력발전1위] innovation 혁신팀(비즈니스 프로세스 분석)5-12년, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46076837?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=97, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 로드컴플릿, 공고이름: [사업실] 데이터 분석가, url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=252018, 경력: 경력2년↑, 지역: 경기, 직무: 데이터 분석가, 사이트: jobkorea
회사이름: 111퍼센트, 공고이름: [111퍼센트]데이터 분석가, url: https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=254419, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 분석가, 사이트: jobkorea
