회사이름,공고이름,url,경력,지역,직무,사이트
대기업,[일본계반도체장비사] data scientist (데이터 분석가) 채용건,https://www.jobkorea.co.kr/Recruit/GI_Read/45749735?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=75,경력2년↑,경기,데이터 분석가,jobkorea
전자제품1위유통대기업,[ 데이터분석가 ] 전자제품 1위 유통 대기업,https://www.jobkorea.co.kr/Recruit/GI_Read/45973505?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=76,경력3년↑,서울,데이터 분석가,jobkorea
외국계기업,[global company] ga/aa 분석가,https://www.jobkorea.co.kr/Recruit/GI_Read/46037564?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=78,경력2년↑,서울,데이터 분석가,jobkorea
대기업,데이터플랫폼회사] data analyst,https://www.jobkorea.co.kr/Recruit/GI_Read/46069974?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=79,경력2년↑,경기,데이터 분석가,jobkorea
중소기업,데이터 과학자-성장 분석(영어 가능자),https://www.jobkorea.co.kr/Recruit/GI_Read/45952383?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=81,경력8년↑,서울,데이터 분석가,jobkorea
중견기업,중견상장교육그룹 데이터분석 과장급 5년이상,https://www.jobkorea.co.kr/Recruit/GI_Read/45739642?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=82,경력5년↑,서울,데이터 분석가,jobkorea
외국계기업,[외국계] accounting analyst - 이천,https://www.jobkorea.co.kr/Recruit/GI_Read/45625832?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=94,경력5년↑,경기,데이터 분석가,jobkorea
중견기업,[중견상장-풍력발전1위] innovation 혁신팀(비즈니스 프로세스 분석)5-12년,https://www.jobkorea.co.kr/Recruit/GI_Read/46076837?PageGbn=HH&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=97,경력5년↑,서울,데이터 분석가,jobkorea
로드컴플릿,[사업실] 데이터 분석가,https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=252018,경력2년↑,경기,데이터 분석가,jobkorea
111퍼센트,[111퍼센트]데이터 분석가,https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=254419,경력5년↑,서울,데이터 분석가,jobkorea
기어세컨드,[기어세컨드] 데이터 분석가,https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253524,신입·경력,서울,데이터 분석가,jobkorea
베이글코드,[cvs] 데이터 분석가 (business analyst),https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253112,경력무관,서울,데이터 분석가,jobkorea
EA코리아,[data and analytics] senior data analyst (데이터 분석가),https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=253652,경력5년↑,서울,데이터 분석가,jobkorea
데브시스터즈,[쿠키런 모험의탑] 데이터 분석가 (2개월),https://www.gamejob.co.kr/List_GI/GIB_Read.asp?GI_No=254189,경력무관,서울,데이터 분석가,jobkorea
