company,title,url,exp,edu,typ,loc,date,job_name
㈜나누리아이티,증권업무 분석설계자 구인합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45925281?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=24,경력,학력무관,정규직 외,서울 영등포구,D-3,데이터 분석가
㈜조인아이티,"Si(생명차세대-기간계및채널 분석,설계)/여의도/25.1-2년/다수(중급,고급)/",https://www.jobkorea.co.kr/Recruit/GI_Read/46022300?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=25,경력6년↑,학력무관,계약직 외,서울 영등포구,D-18,데이터 분석가
㈜오픈서베이,Account Manager(신입-경력 3년 미만),https://www.jobkorea.co.kr/Recruit/GI_Read/45774809?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=26,신입,대졸↑,정규직,서울 강남구,상시채용,데이터 분석가
트리노드㈜,[부산/경력 3년 이상] QA팀 - UX Researcher/UI/UX 분석가,https://www.jobkorea.co.kr/Recruit/GI_Read/45826930?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=27,경력3년↑,학력무관,정규직,부산 해운대구,D-17,데이터 분석가
㈜붕붕마켓,자동차 직거래 플랫폼 앱 기획자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45839130?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=28,경력5년↑,학력무관,정규직,서울 마포구,D-19,데이터 분석가
Spoqa,스포카 프론트엔드 프로그래머 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45892553?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=29,경력5년↑,학력무관,정규직,서울 강남구,상시채용,데이터 분석가
㈜넥슨,신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45856616?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=30,신입·경력,학력무관,정규직 외,경기 성남시,상시채용,데이터 분석가
㈜인실리코젠,데이터 사이언티스트 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45937517?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=31,신입·경력1년↑,대졸↑,정규직 외,경기 용인시 외,D-20,데이터 분석가
㈜아이넷캅,[신입/경력] 안드로이드 앱(악성코드) 분석가 채용(내일채움공제가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45811211?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=32,신입·경력,초대졸↑,정규직,서울 송파구,D-16,데이터 분석가
셀바스헬스케어,[코스닥상장사] 의료기기 RA전문가,https://www.jobkorea.co.kr/Recruit/GI_Read/45787014?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=33,경력2년↑,대졸↑,정규직,대전 유성구,D-11,데이터 분석가
콘센트릭스서비스코리아(유),데이터분석가 (사원급),https://www.jobkorea.co.kr/Recruit/GI_Read/46088429?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=34,경력2년↑,학력무관,정규직,서울 강남구,D-20,데이터 분석가
㈜에이브랩스,데이터 분석 (Data Scientist) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46057474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=35,신입·경력,학력무관,정규직 외,서울 용산구,D-54,데이터 분석가
㈜장피셜,"[뷰티에스테틱 업계1위, 파메스테틱]퍼포먼스 마케터,DB분석가 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46022449?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=36,경력2년↑,학력무관,정규직,서울 중구,D-18,데이터 분석가
