company,title,url,exp,edu,typ,loc,job_name
㈜카카오페이,데이터 엔지니어 - dw / bi 시스템 개발 시스템 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/46016284?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=16,경력5년↑,학력무관,정규직,경기,데이터 엔지니어
콘센트릭스서비스코리아(유),데이터플랫폼엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46028427?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=17,경력1년↑,학력무관,정규직,서울,데이터 엔지니어
㈜와탭랩스,db 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45949176?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=18,경력5년↑,학력무관,정규직,서울,데이터 엔지니어
㈜데이타뱅크,(대구)db 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46042778?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=21,경력무관,초대졸↑,정규직 외,대구,데이터 엔지니어
㈜위즈베이스,oracle db 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45745188?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=22,경력6년↑,초대졸↑,정규직 외,서울,데이터 엔지니어
에이플랫폼,[신입/경력] database engineer - r&d center,https://www.jobkorea.co.kr/Recruit/GI_Read/46030703?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=23,신입·경력3년↑,초대졸↑,정규직,서울,데이터 엔지니어
㈜에즈웰플러스,[경력] dba / oracle db 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45916157?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=24,경력3년↑,대졸↑,정규직 외,서울,데이터 엔지니어
에이플랫폼,[신입/경력] database engineer - customer support service,https://www.jobkorea.co.kr/Recruit/GI_Read/46030714?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=25,신입·경력3년↑,초대졸↑,정규직,서울,데이터 엔지니어
에이플랫폼,[신입/경력] database engineer - technical solution center,https://www.jobkorea.co.kr/Recruit/GI_Read/46030694?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=26,신입·경력3년↑,초대졸↑,정규직,서울,데이터 엔지니어
㈜싸이웰시스템,[싸이웰시스템] db 엔지니어 (신입/경력) 정규직 채용 (3200 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45978880?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=28,신입·경력,학력무관,정규직,서울,데이터 엔지니어
